word,syllable_thai,syllable_roman,onset,vowel,coda,has_long_vowel,ipa,g2p
ต้มยำ,ยำ,yam,y,a,m,False,jam1,jam0
คู่,คู่,khu,kh,u,,True,kʰuː3,khuu2
การเลือกตั้ง,การ,kan,k,a,n,True,kaːn1,kaan0
การเลือกตั้ง,เลือก,lueak,l,uea,k,True,lɯːak3,lUUak2
การเลือกตั้ง,ตั้ง,tang,t,a,ng,False,taŋ3,taN2
ชาติ,ชาติ,chat,ch,a,t,True,cʰaːt3,chaat2
มะเร็ง,มะ,ma,m,a,,False,ma4,ma3
มะเร็ง,เร็ง,reng,r,e,ng,False,reŋ1,reN0
ชีวิต,ชี,chiwi,ch,iwi,,True,cʰiː1,chii0
ชีวิต,วิต,t,t,,t,False,wit4,wit3
กิจกรรม,กิจ,kitcha,k,itcha,,False,kit2,kit1'ca1
กิจกรรม,กรรม,kam,k,a,m,False,ca2,kam0
มาสด้า,มาส,mat,m,a,t,True,maːt3,maat2
มาสด้า,ด้า,da,d,a,,True,daː3,daa2
พระ,พระ,phra,phr,a,,False,pʰra4,phra3
โอ,โอ,o,,o,,True,ʔoː1,?oo0
เกือบ,เกือบ,kueap,k,uea,p,True,kɯːap2,kUUap1
แสน,แสน,saen,s,ae,n,True,sɛːn5,sxxn4
สม,สม,som,s,o,m,False,som5,som4
โปรโมชั่น,โปร,pro,pr,o,,True,proː1,proo0
โปรโมชั่น,โม,mo,m,o,,True,moː1,moo0
โปรโมชั่น,ชั่น,chan,ch,a,n,False,cʰan3,chan2
ที่จอดรถ,ที่,thi,th,i,,True,tʰiː3,thii2
ที่จอดรถ,จอด,chot,ch,o,t,True,cᴐːt2,cOOt1
ที่จอดรถ,รถ,rot,r,o,t,False,rot4,rot3
ผิด,ผิด,phit,ph,i,t,False,pʰit2,phit1
ศาล,ศาล,san,s,a,n,True,saːn5,saan4
ส่วนใหญ่,ส่วน,suan,s,ua,n,True,suːan2,suuan1
ส่วนใหญ่,ใหญ่,yai,y,ai,,False,jaj2,jaj1
แห้ง,แห้ง,haeng,h,ae,ng,True,hɛːŋ3,hxxN2
หิว,หิว,hio,h,io,,False,hiw5,hiw4
เปรี้ยว,เปรี้ยว,priao,pr,iao,,True,priːaw3,priiaw2
รีบ,รีบ,rip,r,i,p,True,riːp3,riip2
เซ,เซ,se,s,e,,True,seː1,see0
ทั้งนี้,ทั้ง,thang,th,a,ng,False,tʰaŋ4,thaN3
ทั้งนี้,นี้,ni,n,i,,True,niː4,nii3
นม,นม,nom,n,o,m,False,nom1,nom0
แพ้,แพ้,phae,ph,ae,,True,pʰɛː4,phxx3
ปรับ,ปรับ,prap,pr,a,p,False,prap2,prap1
สาย,สาย,sai,s,ai,,True,saːj5,saaj4
ลา,ลา,la,l,a,,True,laː1,laa0
รูป,รูป,rup,r,u,p,True,ruːp3,ruup2
คิว,คิว,khio,kh,io,,False,kʰiw1,khiw0
แม้,แม้,mae,m,ae,,True,mɛː4,mxx3
ครบ,ครบ,khrop,khr,o,p,False,kʰrop4,khrop3
ไร,ไร,rai,r,ai,,False,raj1,raj0
ต่าง,ต่าง,tang,t,a,ng,True,taːŋ2,taaN1
กระ,กระ,kra,kr,a,,False,kra2,kra1
นา,นา,na,n,a,,True,naː1,naa0
เด็ด,เด็ด,det,d,e,t,False,det2,det1
โทร,โทร,tho,th,o,,True,tʰoː1,thoo0
ทั่วไป,ทั่ว,thua,th,ua,,True,tʰuːa3,thuua2
ทั่วไป,ไป,pai,p,ai,,False,paj1,paj0
ลีโอ,ลี,li,l,i,,True,liː1,lii0
ลีโอ,โอ,-o,-,o,,True,ʔoː1,?oo0
ตา,ตา,ta,t,a,,True,taː1,taa0
สัก,สัก,sak,s,a,k,False,sak2,sak1
พม่า,พม่า,phama,ph,ama,,True,pʰa4,pha3'maa2
สูตร,สูตร,sut,s,u,t,True,suːt2,suut1
เค็ม,เค็ม,khem,kh,e,m,False,kʰem1,khem0
ข้อ,ข้อ,kho,kh,o,,True,kʰᴐː3,khOO2
เหล้า,เหล้า,lao,l,ao,,False,law3,law2
จีน,จีน,chin,ch,i,n,True,ciːn1,ciin0
เหตุการณ์,เหตุ,het,h,e,t,True,heːt2,heet1
เหตุการณ์,การณ์,kan,k,a,n,True,kaːn1,kaan0
ตอบ,ตอบ,top,t,o,p,True,tᴐːp2,tOOp1
ตำรวจ,ตำ,tam,t,a,m,False,tam1,tam0
ตำรวจ,รวจ,ruat,r,ua,t,True,ruːat2,ruuat1
กลัว,กลัว,klua,kl,ua,,True,kluːa1,kluua0
ขอให้,ขอ,kho,kh,o,,True,kʰᴐː5,khOO4
ขอให้,ให้,hai,h,ai,,False,haj3,haj2
ปิ้ง,ปิ้ง,ping,p,i,ng,False,piŋ3,piN2
หัว,หัว,hua,h,ua,,True,huːa5,huua4
สุดท้าย,สุด,sut,s,u,t,False,sut2,sut1
สุดท้าย,ท้าย,thai,th,ai,,True,tʰaːj4,thaaj3
ๆๆ,ๆ,ๆ ๆ,ๆ, ,ๆ,False,ๆ ๆ,ๆ
ๆๆ,ๆ,,,,,False,,
จอง,จอง,chong,ch,o,ng,True,cᴐːŋ1,cOON0
กำลังดี,กำ,kam,k,a,m,False,kam1,kam0
กำลังดี,ลัง,lang,l,a,ng,False,laŋ1,laN0
กำลังดี,ดี,di,d,i,,True,diː1,dii0
กุ,กุ,ku,k,u,,False,ku2,ku1
แยก,แยก,yaek,y,ae,k,True,jɛːk3,jxxk2
ขนมปัง,ขนม,khanom,kh,ano,m,False,kʰa2,kha1'nom4
ขนมปัง,ปัง,pang,p,a,ng,False,nom5,paN0
นิด,นิด,nit,n,i,t,False,nit4,nit3
จำกัด,จำ,cham,ch,a,m,False,cam1,cam0
จำกัด,กัด,kat,k,a,t,False,kat2,kat1
แทน,แทน,thaen,th,ae,n,True,tʰɛːn1,thxxn0
น้ำมัน,น้ำ,nam,n,a,m,True,naːm4,naam3
น้ำมัน,มัน,man,m,a,n,False,man1,man0
ใส,ใส,sai,s,ai,,False,saj5,saj4
ชัดเจน,ชัด,chatc,ch,at,c,False,cʰat4,chat3
ชัดเจน,เจน,hen,h,e,n,True,ceːn1,ceen0
ซะ,ซะ,sa,s,a,,False,sa4,sa3
ผล,ผล,phon,ph,o,n,False,pʰon5,phon4
อา,อา,a,,a,,True,ʔaː1,?aa0
เธอ,เธอ,thoe,th,oe,,True,tʰɤː1,th@@0
ใด,ใด,dai,d,ai,,False,daj1,daj0
แห่งชาติ,แห่ง,haeng,h,ae,ng,True,hɛːŋ2,hxxN1
แห่งชาติ,ชาติ,chat,ch,a,t,True,cʰaːt3,chaat2
มากขึ้น,มาก,mak,m,a,k,True,maːk3,maak2
มากขึ้น,ขึ้น,khuen,kh,ue,n,False,kʰɯn3,khUn2
เฉพาะ,เฉพาะ,chapho,ch,apho,,False,cʰa2,cha1'phO3
เอ็ม,เอ็ม,em,,e,m,False,ʔem1,?em0
เก็บ,เก็บ,kep,k,e,p,False,kep2,kep1
พิจารณา,พิ,phi,ph,i,,False,pʰi4,phi3
พิจารณา,จา,cha,ch,a,,True,caː1,caa0
พิจารณา,รณา,rana,r,ana,,True,ra4,ra3'naa0
สลัด,สลัด,salat,s,ala,t,False,sa2,sa1'lat1
เกินไป,เกิน,koen,k,oe,n,True,kɤːn1,k@@n0
เกินไป,ไป,pai,p,ai,,False,paj1,paj0
เทียบ,เทียบ,thiap,th,ia,p,True,tʰiːap3,thiiap2
เพื่อให้,เพื่อ,phuea,ph,uea,,True,pʰɯːa3,phUUa2
เพื่อให้,ให้,hai,h,ai,,False,haj3,haj2
ฟัง,ฟัง,fang,f,a,ng,False,faŋ1,faN0
เสิร์ฟ,เสิร์ฟ,soep,s,oe,p,True,sɤːp2,s@@p1
คอ,คอ,kho,kh,o,,True,kʰᴐː1,khOO0
ฮอนด้า,ฮอน,hon,h,o,n,True,hᴐːn1,hOOn0
ฮอนด้า,ด้า,da,d,a,,True,daː3,daa2
แอร์,แอร์,ae,,ae,,True,ʔɛː1,?xx0
สไตล์,สไตล์,satai,s,atai,,False,sa2,sa1'taj0
แสงโสม,แสง,saeng,s,ae,ng,True,sɛːŋ5,sxxN4
แสงโสม,โสม,som,s,o,m,True,soːm5,soom4
ในประเทศ,ใน,nai,n,ai,,False,naj1,naj0
ในประเทศ,ประ,pra,pr,a,,False,pra2,pra1
ในประเทศ,เทศ,thet,th,e,t,True,tʰeːt3,theet2
ใจ,ใจ,chai,ch,ai,,False,caj1,caj0
ตน,ตน,ton,t,o,n,False,ton1,ton0
